日期,品名,规格,材质,品牌,价格,地区,抓取时间,创建时间
2026-05-16,螺纹钢,Φ14,HRB400E,江苏镔鑫,3680,山东烟台,None,None
2026-05-16,螺纹钢,Φ14,HRB400E,莱钢,3480,山东烟台,None,None
2026-05-16,螺纹钢,Φ14,HRB400E,永锋,3480,山东烟台,None,None
2026-05-16,螺纹钢,Φ14,HRB400E,石横特钢,3480,山东烟台,None,None
2026-05-16,螺纹钢,Φ14,HRB400E,江苏镔鑫,3460,山东烟台,None,None
2026-05-16,螺纹钢,Φ14,HRB500E,江苏镔鑫,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ14,HRB400E,莱钢,3490,山东烟台,None,None
2026-05-16,螺纹钢,Φ14,HRB400E,永锋,3490,山东烟台,None,None
2026-05-16,螺纹钢,Φ14,HRB400E,石横特钢,3490,山东烟台,None,None
2026-05-16,螺纹钢,Φ14,HRB400E,江苏镔鑫,3470,山东烟台,None,None
2026-05-16,螺纹钢,Φ14,HRB500E,江苏镔鑫,3680,山东烟台,None,None
2026-05-16,螺纹钢,Φ16,HRB400E,莱钢,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ16,HRB400E,永锋,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ16,HRB400E,石横特钢,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ16,HRB400E,江苏镔鑫,3650,山东烟台,None,None
2026-05-16,螺纹钢,Φ16,HRB400E,莱钢,3450,山东烟台,None,None
2026-05-16,螺纹钢,Φ16,HRB400E,永锋,3450,山东烟台,None,None
2026-05-16,螺纹钢,Φ16,HRB400E,石横特钢,3450,山东烟台,None,None
2026-05-16,螺纹钢,Φ16,HRB400E,江苏镔鑫,3430,山东烟台,None,None
2026-05-16,螺纹钢,Φ16,HRB500E,莱钢,3660,山东烟台,None,None
2026-05-16,螺纹钢,Φ16,HRB500E,永锋,3660,山东烟台,None,None
2026-05-16,螺纹钢,Φ16,HRB500E,石横特钢,3660,山东烟台,None,None
2026-05-16,螺纹钢,Φ16,HRB500E,江苏镔鑫,3640,山东烟台,None,None
2026-05-16,螺纹钢,Φ16,HRB400E,莱钢,3460,山东烟台,None,None
2026-05-16,螺纹钢,Φ16,HRB400E,永锋,3460,山东烟台,None,None
2026-05-16,螺纹钢,Φ16,HRB400E,石横特钢,3460,山东烟台,None,None
2026-05-16,螺纹钢,Φ16,HRB400E,江苏镔鑫,3440,山东烟台,None,None
2026-05-16,螺纹钢,Φ16,HRB500E,莱钢,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ16,HRB500E,永锋,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ16,HRB500E,石横特钢,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ16,HRB500E,江苏镔鑫,3650,山东烟台,None,None
2026-05-16,螺纹钢,Φ18,HRB400E,莱钢,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ18,HRB400E,永锋,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ18,HRB400E,石横特钢,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ18,HRB400E,江苏镔鑫,3650,山东烟台,None,None
2026-05-16,螺纹钢,Φ18,HRB400E,莱钢,3450,山东烟台,None,None
2026-05-16,螺纹钢,Φ18,HRB400E,永锋,3450,山东烟台,None,None
2026-05-16,螺纹钢,Φ18,HRB400E,石横特钢,3450,山东烟台,None,None
2026-05-16,螺纹钢,Φ18,HRB400E,江苏镔鑫,3430,山东烟台,None,None
2026-05-16,螺纹钢,Φ18,HRB500E,莱钢,3660,山东烟台,None,None
2026-05-16,螺纹钢,Φ18,HRB500E,永锋,3660,山东烟台,None,None
2026-05-16,螺纹钢,Φ18,HRB500E,石横特钢,3660,山东烟台,None,None
